From,To,Weight
A02,A09,0.000002
A02,A29,0.000003
A02,A05,0.000004
A28,A21,0.000005
A34,A24,0.000005
A36,A05,0.000005
A28,A05,0.000006
A36,A04,0.000006
A36,A51,0.000006
A36,A52,0.000006
A02,A13,0.000007
A36,A38,0.000007
A02,A42,0.000009
A33,A25,0.000009
A20,A05,0.00001
A28,A30,0.00001
A28,A37,0.000011
A02,A20,0.000014
A28,A41,0.000014
A28,A47,0.000014
A02,A33,0.000015
A04,A24,0.000015
A02,A04,0.000016
A02,A52,0.000016
A02,A25,0.000017
A02,A37,0.000017
A36,A13,0.000018
A28,A08,0.000019
A37,A05,0.000019
A02,A14,0.000021
A02,A38,0.000021
A28,A04,0.000021
A28,A52,0.000021
A02,A22,0.000023
A28,A19,0.000024
A02,A39,0.000025
A20,A02,0.000025
A36,A19,0.000026
A28,A23,0.000028
A36,A44,0.000032
A04,A18,0.000037
A02,A08,0.00004
A02,A30,0.00004
A20,A16,0.000043
A28,A02,0.000043
A02,A21,0.000044
A36,A26,0.000045
A36,A08,0.000047
A12,A14,0.000048
A20,A08,0.000048
A02,A10,0.000049
A36,A47,0.000049
A12,A35,0.000054
A36,A03,0.000054
A02,A35,0.000055
A12,A13,0.000056
A28,A34,0.000057
A28,A03,0.000058
A15,A38,0.000063
A02,A15,0.000065
A47,A21,0.000065
A25,A04,0.000066
A25,A52,0.000066
A36,A35,0.000067
A04,A01,0.000071
A43,A11,0.000072
A36,A50,0.000073
A15,A04,0.000074
A15,A52,0.000074
A36,A32,0.000075
A29,A04,0.000076
A29,A52,0.000076
A12,A30,0.000085
A33,A45,0.000085
A43,A21,0.000088
A20,A04,0.000089
A20,A52,0.000089
A28,A36,0.00009
A04,A35,0.000092
A04,A42,0.000093
A04,A50,0.000093
A02,A19,0.000095
A02,A27,0.000095
A43,A30,0.000096
A21,A04,0.000098
A21,A52,0.000098
A28,A39,0.000099
A36,A49,0.000099
A15,A02,0.000101
A21,A05,0.000105
A24,A04,0.000106
A24,A52,0.000106
A04,A46,0.000107
A28,A35,0.000107
A04,A51,0.000108
A28,A49,0.000112
A15,A08,0.000117
A15,A37,0.000117
A23,A05,0.000119
A30,A28,0.000119
A47,A38,0.000119
A36,A39,0.00012
A43,A04,0.000122
A43,A52,0.000122
A02,A23,0.000125
A12,A37,0.000131
A15,A22,0.000134
A50,A13,0.000137
A46,A01,0.000138
A20,A45,0.000145
A33,A31,0.000148
A37,A42,0.000149
A35,A19,0.000154
A20,A03,0.000159
A36,A11,0.00016
A31,A09,0.000161
A43,A01,0.000166
A25,A12,0.000174
A15,A13,0.000175
A02,A03,0.000176
A04,A41,0.000177
A28,A15,0.000177
A36,A07,0.000178
A46,A07,0.000179
A50,A05,0.00018
A51,A15,0.000185
A02,A06,0.000186
A36,A45,0.000188
A50,A04,0.00019
A50,A52,0.00019
A51,A26,0.00019
A11,A01,0.000194
A28,A20,0.000196
A25,A47,0.000199
A04,A16,0.0002
A04,A48,0.000203
A29,A21,0.000208
A47,A02,0.000211
A39,A41,0.000216
A12,A16,0.000217
A15,A41,0.000223
A20,A12,0.000225
A04,A47,0.00023
A36,A46,0.000236
A15,A18,0.000237
A25,A08,0.00024
A24,A05,0.000241
A32,A04,0.000245
A32,A52,0.000245
A28,A38,0.000247
A17,A26,0.000249
A12,A25,0.00026
A29,A26,0.000261
A04,A39,0.000262
A33,A04,0.000263
A33,A52,0.000263
A38,A03,0.000264
A28,A40,0.000267
A08,A43,0.00027
A04,A13,0.000278
A46,A27,0.000278
A51,A49,0.000279
A21,A16,0.000282
A12,A48,0.000283
A28,A45,0.000301
A15,A10,0.000309
A42,A04,0.000312
A42,A52,0.000312
A15,A09,0.000314
A25,A41,0.000321
A25,A17,0.000329
A46,A13,0.00033
A24,A14,0.000339
A04,A40,0.00034
A24,A49,0.000341
A20,A26,0.000348
A51,A31,0.00035
A32,A37,0.000351
A33,A48,0.000352
A20,A41,0.000357
A35,A03,0.000364
A28,A51,0.000369
A17,A01,0.000379
A30,A45,0.000379
A29,A01,0.000382
A15,A19,0.000384
A46,A12,0.000387
A24,A11,0.000393
A27,A01,0.000393
A33,A01,0.000393
A04,A38,0.0004
A36,A17,0.000408
A04,A44,0.00041
A12,A15,0.000411
A30,A50,0.000423
A11,A26,0.000426
A12,A18,0.000427
A46,A49,0.000434
A22,A04,0.000439
A22,A52,0.000439
A33,A13,0.000441
A25,A06,0.000447
A22,A17,0.000448
A12,A27,0.00045
A43,A02,0.000456
A32,A34,0.000458
A04,A49,0.00046
A33,A49,0.000466
A37,A04,0.000476
A37,A52,0.000476
A51,A01,0.000481
A04,A31,0.000484
A04,A26,0.000489
A04,A45,0.000492
A43,A41,0.000493
A51,A03,0.000496
A04,A34,0.000501
A15,A26,0.000504
A21,A10,0.000513
A28,A17,0.00052
A36,A33,0.000536
A51,A41,0.000536
A24,A45,0.000537
A14,A04,0.000538
A14,A52,0.000538
A33,A47,0.00054
A29,A18,0.000554
A15,A03,0.000556
A47,A01,0.000558
A24,A32,0.000564
A04,A32,0.000568
A37,A39,0.00057
A12,A40,0.000571
A23,A48,0.000572
A30,A11,0.000576
A21,A13,0.000578
A47,A05,0.000578
A37,A14,0.000582
A04,A10,0.000585
A42,A08,0.000585
A04,A27,0.000591
A43,A15,0.000595
A28,A33,0.000606
A24,A30,0.000607
A15,A12,0.00062
A15,A17,0.000625
A12,A41,0.000627
A15,A05,0.000628
A33,A30,0.000631
A30,A49,0.000639
A15,A34,0.000641
A24,A13,0.000641
A15,A42,0.000653
A04,A19,0.000668
A05,A23,0.000684
A22,A36,0.000684
A04,A23,0.0007
A29,A41,0.000701
A20,A19,0.000703
A28,A28,0.000706
A33,A19,0.000709
A26,A24,0.000753
A43,A31,0.000754
A29,A07,0.000762
A10,A47,0.000765
A20,A13,0.00077
A28,A42,0.000782
A32,A41,0.000784
A12,A44,0.000797
A38,A35,0.000797
A25,A07,0.000798
A32,A21,0.000798
A38,A14,0.000814
A02,A02,0.000819
A26,A11,0.000823
A04,A12,0.000832
A35,A04,0.00084
A35,A52,0.00084
A04,A36,0.000843
A33,A03,0.00085
A24,A07,0.00086
A04,A17,0.000869
A41,A04,0.000869
A41,A52,0.000869
A31,A01,0.00087
A22,A06,0.000883
A24,A31,0.000888
A04,A03,0.000897
A31,A12,0.000907
A45,A30,0.000907
A50,A26,0.00091
A33,A09,0.000913
A43,A44,0.000913
A17,A21,0.000921
A34,A25,0.000932
A51,A04,0.000933
A51,A52,0.000933
A33,A43,0.000944
A38,A05,0.000951
A43,A05,0.000954
A12,A09,0.000959
A24,A27,0.000967
A24,A35,0.000969
A20,A11,0.000972
A37,A40,0.000974
A32,A29,0.000986
A33,A41,0.001
A42,A50,0.001
A24,A43,0.00101
A33,A22,0.00101
A37,A26,0.00101
A22,A07,0.00102
A29,A34,0.00103
A24,A48,0.00105
A33,A10,0.00105
A43,A47,0.00105
A11,A05,0.00106
A43,A36,0.00106
A25,A21,0.00107
A36,A36,0.00107
A18,A09,0.00108
A19,A10,0.00109
A12,A10,0.00111
A12,A31,0.00111
A24,A40,0.00111
A25,A38,0.00111
A51,A02,0.00111
A46,A04,0.00112
A46,A52,0.00112
A23,A24,0.00114
A29,A13,0.00114
A43,A39,0.00114
A20,A44,0.00115
A12,A22,0.00118
A20,A21,0.00118
A45,A41,0.00118
A04,A11,0.00119
A10,A18,0.0012
A20,A10,0.0012
A24,A22,0.00121
A37,A03,0.00121
A15,A21,0.00122
A20,A39,0.00122
A38,A04,0.00123
A38,A52,0.00123
A51,A16,0.00123
A12,A20,0.00125
A17,A09,0.00126
A42,A27,0.00127
A30,A32,0.00128
A20,A36,0.00129
A12,A24,0.00131
A21,A02,0.00131
A24,A26,0.00131
A36,A34,0.00131
A37,A01,0.00131
A24,A06,0.00132
A41,A19,0.00132
A41,A38,0.00132
A04,A06,0.00133
A04,A08,0.00133
A29,A51,0.00133
A10,A14,0.00134
A26,A50,0.00134
A37,A06,0.00135
A18,A23,0.00136
A33,A32,0.00136
A21,A18,0.00138
A12,A32,0.0014
A32,A33,0.0014
A35,A14,0.00141
A45,A13,0.00142
A41,A49,0.00143
A12,A28,0.00144
A19,A47,0.00144
A27,A44,0.00144
A30,A01,0.00144
A15,A24,0.00145
A37,A23,0.00145
A16,A51,0.00146
A22,A40,0.00147
A42,A48,0.00148
A40,A01,0.00149
A12,A06,0.0015
A24,A09,0.0015
A17,A29,0.00151
A19,A13,0.00151
A32,A09,0.00151
A46,A19,0.00151
A37,A34,0.00152
A33,A26,0.00153
A23,A16,0.00154
A31,A02,0.00154
A04,A07,0.00155
A12,A19,0.00155
A32,A48,0.00155
A33,A35,0.00156
A15,A27,0.00157
A51,A33,0.00158
A33,A02,0.0016
A03,A46,0.00161
A30,A20,0.00161
A43,A50,0.00161
A35,A09,0.00162
A15,A47,0.00163
A24,A41,0.00163
A32,A12,0.00163
A25,A39,0.00167
A27,A23,0.00167
A15,A25,0.00168
A23,A41,0.0017
A43,A18,0.00171
A12,A49,0.00172
A24,A15,0.00172
A40,A26,0.00172
A23,A30,0.00174
A45,A01,0.00174
A12,A03,0.00175
A12,A11,0.00177
A32,A43,0.00177
A43,A38,0.00177
A21,A19,0.00179
A46,A05,0.0018
A25,A50,0.00181
A45,A08,0.00182
A31,A38,0.00185
A25,A10,0.00186
A29,A16,0.00186
A40,A41,0.00187
A43,A49,0.00187
A11,A24,0.00188
A15,A30,0.00189
A21,A12,0.00189
A24,A25,0.00189
A31,A17,0.00192
A09,A08,0.00193
A10,A16,0.00194
A19,A24,0.00197
A16,A42,0.00198
A32,A35,0.00201
A50,A38,0.00201
A22,A27,0.00202
A20,A40,0.00203
A11,A04,0.00204
A11,A52,0.00204
A07,A09,0.00205
A32,A07,0.00206
A32,A13,0.00206
A42,A06,0.00207
A21,A03,0.0021
A43,A46,0.0021
A04,A04,0.00211
A04,A52,0.00211
A21,A26,0.00211
A40,A14,0.00211
A15,A11,0.00213
A20,A37,0.00213
A41,A34,0.00213
A14,A09,0.00214
A10,A02,0.00217
A37,A49,0.00217
A50,A48,0.00217
A24,A37,0.0022
A06,A13,0.00222
A33,A18,0.00223
A40,A38,0.00223
A49,A04,0.00224
A49,A52,0.00224
A28,A10,0.00225
A46,A08,0.00225
A23,A21,0.00228
A31,A26,0.00228
A37,A27,0.00231
A51,A44,0.00231
A11,A08,0.00237
A23,A36,0.00237
A24,A34,0.00237
A42,A02,0.00237
A43,A37,0.00237
A33,A37,0.00238
A31,A24,0.00239
A12,A46,0.0024
A39,A32,0.00241
A41,A33,0.00243
A33,A39,0.00245
A11,A22,0.00246
A43,A13,0.00248
A15,A43,0.00253
A46,A30,0.00253
A20,A47,0.00254
A23,A29,0.00255
A01,A40,0.00257
A11,A19,0.00257
A18,A13,0.00257
A20,A27,0.00258
A29,A30,0.00259
A21,A22,0.0026
A27,A21,0.00262
A20,A31,0.00264
A22,A26,0.00264
A37,A50,0.00264
A20,A15,0.00265
A20,A22,0.00265
A21,A47,0.00265
A15,A20,0.00266
A20,A51,0.00266
A51,A18,0.00266
A41,A01,0.00267
A27,A41,0.00269
A48,A17,0.00269
A37,A46,0.00271
A13,A24,0.00272
A20,A30,0.00272
A51,A14,0.00273
A45,A04,0.00276
A45,A52,0.00276
A15,A23,0.00277
A20,A09,0.00279
A25,A26,0.00279
A29,A49,0.00279
A32,A08,0.00282
A20,A29,0.00283
A07,A29,0.00284
A50,A18,0.00284
A47,A41,0.00287
A50,A07,0.0029
A12,A42,0.00291
A08,A39,0.00292
A06,A36,0.00293
A21,A34,0.00293
A24,A47,0.00295
A25,A19,0.00295
A42,A36,0.00297
A38,A48,0.00302
A21,A09,0.00304
A20,A43,0.0031
A12,A29,0.00311
A42,A41,0.00311
A21,A24,0.00313
A51,A20,0.00314
A12,A07,0.0032
A51,A38,0.00323
A29,A35,0.00324
A30,A19,0.00324
A11,A20,0.00326
A41,A03,0.00326
A11,A32,0.00329
A37,A41,0.00334
A42,A11,0.00334
A25,A45,0.00335
A39,A08,0.00339
A05,A13,0.0034
A25,A42,0.0034
A31,A21,0.00343
A38,A27,0.00344
A25,A48,0.00345
A46,A21,0.00349
A29,A43,0.0035
A33,A38,0.0035
A26,A01,0.00352
A21,A08,0.00353
A35,A41,0.00354
A24,A16,0.00356
A29,A06,0.00356
A27,A22,0.00357
A42,A01,0.00357
A08,A27,0.00359
A12,A34,0.0036
A38,A26,0.00361
A15,A46,0.00362
A34,A01,0.00362
A51,A28,0.00362
A20,A23,0.00363
A01,A21,0.00365
A29,A48,0.00365
A33,A16,0.00365
A29,A40,0.00366
A03,A33,0.00369
A12,A36,0.00369
A41,A37,0.00369
A15,A51,0.00371
A25,A35,0.00376
A32,A30,0.00377
A47,A44,0.00378
A42,A28,0.00379
A49,A05,0.00381
A38,A01,0.00382
A15,A44,0.00383
A30,A08,0.00384
A50,A32,0.00391
A34,A27,0.00393
A22,A51,0.00394
A40,A02,0.00395
A45,A38,0.00396
A46,A40,0.00396
A51,A43,0.00396
A19,A35,0.00397
A07,A05,0.00398
A41,A39,0.00398
A03,A09,0.004
A23,A18,0.00402
A30,A41,0.00402
A37,A02,0.00402
A20,A25,0.00403
A34,A21,0.00405
A37,A31,0.00405
A24,A10,0.00407
A19,A16,0.00411
A23,A49,0.00416
A31,A41,0.00417
A10,A41,0.00425
A15,A31,0.00425
A32,A22,0.00426
A38,A37,0.00427
A30,A17,0.0043
A11,A41,0.00431
A19,A50,0.00435
A35,A05,0.00437
A37,A38,0.0044
A30,A07,0.00445
A45,A29,0.00446
A26,A04,0.00449
A26,A52,0.00449
A22,A12,0.00454
A23,A37,0.00459
A24,A29,0.00459
A33,A23,0.00459
A27,A34,0.00464
A21,A38,0.00465
A24,A18,0.00466
A50,A35,0.00468
A25,A20,0.00472
A19,A48,0.00473
A46,A11,0.00475
A25,A13,0.00477
A15,A36,0.0048
A17,A39,0.00485
A31,A20,0.00485
A24,A23,0.00488
A30,A48,0.00488
A41,A47,0.00489
A06,A26,0.0049
A19,A40,0.00499
A29,A09,0.00503
A46,A03,0.00505
A30,A51,0.0051
A34,A28,0.0051
A08,A13,0.00511
A32,A20,0.00521
A46,A26,0.00527
A47,A43,0.0053
A25,A28,0.00531
A41,A51,0.00532
A31,A37,0.00533
A21,A37,0.00534
A42,A47,0.00536
A38,A41,0.00539
A39,A01,0.00539
A45,A19,0.00541
A11,A37,0.00542
A51,A10,0.00547
A24,A51,0.00551
A10,A26,0.00556
A41,A50,0.00556
A45,A37,0.00558
A46,A43,0.00563
A03,A31,0.00565
A06,A01,0.00571
A17,A48,0.00573
A29,A39,0.00573
A30,A44,0.00573
A40,A46,0.00574
A37,A43,0.00583
A27,A30,0.00585
A32,A19,0.00586
A25,A43,0.00591
A34,A35,0.00591
A33,A50,0.00601
A44,A13,0.00603
A46,A17,0.00612
A43,A43,0.00618
A08,A34,0.00619
A41,A02,0.00625
A03,A49,0.00634
A11,A03,0.00638
A25,A32,0.00641
A07,A13,0.00656
A15,A28,0.00656
A49,A08,0.00656
A05,A35,0.00657
A18,A30,0.00659
A37,A47,0.00659
A34,A48,0.00663
A40,A24,0.00667
A14,A29,0.00672
A22,A21,0.00672
A41,A26,0.00672
A27,A38,0.00675
A34,A26,0.0068
A31,A34,0.00693
A34,A04,0.00693
A34,A52,0.00693
A29,A32,0.00698
A42,A45,0.007
A03,A18,0.00703
A51,A42,0.00706
A03,A01,0.0071
A45,A49,0.00711
A41,A45,0.00713
A31,A25,0.00715
A16,A45,0.0072
A19,A28,0.0072
A20,A28,0.00722
A22,A35,0.00724
A06,A21,0.00726
A41,A22,0.00728
A42,A38,0.0073
A31,A30,0.00732
A01,A03,0.00733
A22,A31,0.00737
